MHC,Identity,WB,"NA",SB,total,SB_pct,WB_pct,Binder_pct
HLA-DPA10103-DPB10402,csp-11,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-111,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-117,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-12,3,92,1,96,0.010416666666666666,0.03125,0.041666666666666664
HLA-DPA10103-DPB10402,csp-15,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-16,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-18,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-19,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-22,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10402,csp-27,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-31,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-32,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-35,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-36,3,92,1,96,0.010416666666666666,0.03125,0.041666666666666664
HLA-DPA10103-DPB10402,csp-39,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-4,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-46,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-47,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-53,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-55,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-68,0,96,0,96,0,0,0
HLA-DPA10103-DPB10402,csp-7,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-8,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-94,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp-99,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10402,csp_reference,0,96,0,96,0,0,0
HLA-DPA10103-DPB10501,csp-1,4,92,0,96,0,0.041666666666666664,0.041666666666666664
HLA-DPA10103-DPB10501,csp-10,1,91,4,96,0.041666666666666664,0.010416666666666666,0.052083333333333336
HLA-DPA10103-DPB10501,csp-11,1,91,4,96,0.041666666666666664,0.010416666666666666,0.052083333333333336
HLA-DPA10103-DPB10501,csp-111,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10501,csp-117,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10501,csp-12,3,92,1,96,0.010416666666666666,0.03125,0.041666666666666664
HLA-DPA10103-DPB10501,csp-15,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB10501,csp-16,2,92,2,96,0.020833333333333332,0.020833333333333332,0.041666666666666664
HLA-DPA10103-DPB10501,csp-18,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10501,csp-19,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10501,csp-22,2,93,1,96,0.010416666666666666,0.020833333333333332,0.03125
HLA-DPA10103-DPB10501,csp-27,1,91,4,96,0.041666666666666664,0.010416666666666666,0.052083333333333336
HLA-DPA10103-DPB10501,csp-31,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10501,csp-32,2,90,4,96,0.041666666666666664,0.020833333333333332,0.0625
HLA-DPA10103-DPB10501,csp-35,1,91,4,96,0.041666666666666664,0.010416666666666666,0.052083333333333336
HLA-DPA10103-DPB10501,csp-36,2,92,2,96,0.020833333333333332,0.020833333333333332,0.041666666666666664
HLA-DPA10103-DPB10501,csp-39,1,91,4,96,0.041666666666666664,0.010416666666666666,0.052083333333333336
HLA-DPA10103-DPB10501,csp-4,3,93,0,96,0,0.03125,0.03125
HLA-DPA10103-DPB10501,csp-46,3,93,0,96,0,0.03125,0.03125
