Record ID, Country, Match
MN623152.1, EQUATORIAL GUINEA: BIOKO, 1
MN623151.1, EQUATORIAL GUINEA: BIOKO, 1
MN623150.1, EQUATORIAL GUINEA: BIOKO, 1
MN623149.1, EQUATORIAL GUINEA: BIOKO, 1
MN623148.1, EQUATORIAL GUINEA: BIOKO, 1
MN623147.1, EQUATORIAL GUINEA: BIOKO, 1
MN623146.1, EQUATORIAL GUINEA: BIOKO, 1
MN623145.1, EQUATORIAL GUINEA: BIOKO, 1
MN623144.1, EQUATORIAL GUINEA: BIOKO, 1
MN623143.1, EQUATORIAL GUINEA: BIOKO, 1
MN623142.1, EQUATORIAL GUINEA: BIOKO, 1
MN623141.1, EQUATORIAL GUINEA: BIOKO, 1
MN623140.1, EQUATORIAL GUINEA: BIOKO, 1
MN623139.1, EQUATORIAL GUINEA: BIOKO, 1
MN623138.1, EQUATORIAL GUINEA: BIOKO, 1
MN623137.1, EQUATORIAL GUINEA: BIOKO, 1
MN623136.1, EQUATORIAL GUINEA: BIOKO, 1
MN623135.1, EQUATORIAL GUINEA: BIOKO, 1
MN623134.1, EQUATORIAL GUINEA: BIOKO, 1
MN623133.1, EQUATORIAL GUINEA: BIOKO, 1
MN623132.1, EQUATORIAL GUINEA: BIOKO, 1
MN623131.1, EQUATORIAL GUINEA: BIOKO, 1
MN623130.1, EQUATORIAL GUINEA: BIOKO, 1
MN623129.1, EQUATORIAL GUINEA: BIOKO, 1
MN623128.1, EQUATORIAL GUINEA: BIOKO, 1
MN623127.1, EQUATORIAL GUINEA: BIOKO, 1
MN623126.1, EQUATORIAL GUINEA: BIOKO, 1
AY093672.1, CHINA: HAINAN, 0
DQ521663.1, IRAN: SISTAN AND BALUCHISTAN, 0
DQ193595.1, MYANMAR, 0
DQ193594.1, INDONESIA: FLORES, 0
DQ193593.1, INDONESIA: FLORES, 0
DQ193592.1, VIET NAM, 0
DQ193591.1, VIET NAM, 0
DQ193590.1, VIET NAM, 0
DQ193589.1, VIET NAM, 0
DQ193588.1, VIET NAM, 0
DQ193587.1, VIET NAM, 0
DQ193586.1, VIET NAM, 0
DQ193585.1, VIET NAM, 0
DQ193584.1, VIET NAM, 0
DQ193583.1, VIET NAM, 0
DQ193582.1, VIET NAM, 0
DQ193581.1, VIET NAM, 0
DQ193580.1, VIET NAM, 0
DQ193579.1, VIET NAM, 0
DQ193578.1, VIET NAM, 0
DQ193577.1, VIET NAM, 0
DQ193576.1, VIET NAM, 0
DQ193575.1, VIET NAM, 0
DQ193574.1, VIET NAM, 0
DQ193573.1, VIET NAM, 0
HM778109.1, ?, ?
GQ119678.1, SIERRA LEONE, 1
GQ119677.1, SIERRA LEONE, 1
GQ119676.1, SIERRA LEONE, 1
GQ119675.1, SIERRA LEONE, 1
GQ119674.1, SIERRA LEONE, 1
GQ119673.1, SIERRA LEONE, 1
GQ119672.1, SIERRA LEONE, 1
GQ119671.1, SIERRA LEONE, 1
GQ119670.1, SIERRA LEONE, 1
GQ119669.1, SIERRA LEONE, 1
GQ119668.1, SIERRA LEONE, 1
GQ119667.1, SIERRA LEONE, 1
GQ119666.1, SIERRA LEONE, 1
GQ119665.1, SIERRA LEONE, 1
GQ119664.1, SIERRA LEONE, 1
GQ119663.1, SIERRA LEONE, 1
GQ119662.1, SIERRA LEONE, 1
GQ119661.1, SIERRA LEONE, 1
GQ119660.1, SIERRA LEONE, 1
GQ119659.1, SIERRA LEONE, 1
GQ119658.1, SIERRA LEONE, 1
GQ119657.1, SIERRA LEONE, 1
GQ119656.1, SIERRA LEONE, 1
GQ119655.1, SIERRA LEONE, 1
GQ119654.1, SIERRA LEONE, 1
GQ119653.1, SIERRA LEONE, 1
GQ119652.1, SIERRA LEONE, 1
GQ119651.1, SIERRA LEONE, 1
GQ119650.1, SIERRA LEONE, 1
GQ119649.1, SIERRA LEONE, 1
GQ119648.1, SIERRA LEONE, 1
GQ119647.1, SIERRA LEONE, 1
GQ119646.1, SIERRA LEONE, 1
GQ119645.1, SIERRA LEONE, 1
GQ119644.1, SIERRA LEONE, 1
GQ119643.1, SIERRA LEONE, 1
GQ119642.1, SIERRA LEONE, 1
GQ119641.1, SIERRA LEONE, 1
GQ119640.1, SIERRA LEONE, 1
GQ119639.1, SIERRA LEONE, 1
GQ119638.1, SIERRA LEONE, 1
GQ119637.1, SIERRA LEONE, 1
DQ521752.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521739.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521734.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521732.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521751.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521750.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521749.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521748.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521747.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521746.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521745.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521744.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521743.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521742.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
DQ521741.1, IRAN: SISTAN AND BALUCHISTAN PROVINCE, 0
