SampleID	SampleName	MarkerID	BarcodePair	ReadNumbers	FileR1	FileR2
18437-1_S17	18437-1_S17	msp1		0	data/18437-1_S17_L001_R1_001.fastq.gz	data/18437-1_S17_L001_R2_001.fastq.gz
18437-2_S16	18437-2_S16	csp		0	data/18437-2_S16_L001_R1_001.fastq.gz	data/18437-2_S16_L001_R2_001.fastq.gz
192771-1_S14	192771-1_S14	msp1		0	data/192771-1_S14_L001_R1_001.fastq.gz	data/192771-1_S14_L001_R2_001.fastq.gz
192771-2_S13	192771-2_S13	csp		0	data/192771-2_S13_L001_R1_001.fastq.gz	data/192771-2_S13_L001_R2_001.fastq.gz
22511-1_S18	22511-1_S18	msp1		0	data/22511-1_S18_L001_R1_001.fastq.gz	data/22511-1_S18_L001_R2_001.fastq.gz
22511-2_S17	22511-2_S17	csp		0	data/22511-2_S17_L001_R1_001.fastq.gz	data/22511-2_S17_L001_R2_001.fastq.gz
82281-1_S3	82281-1_S3	msp1		0	data/82281-1_S3_L001_R1_001.fastq.gz	data/82281-1_S3_L001_R2_001.fastq.gz
82281-2_S2	82281-2_S2	csp		0	data/82281-2_S2_L001_R1_001.fastq.gz	data/82281-2_S2_L001_R2_001.fastq.gz
8238-1_S10	8238-1_S10	msp1		0	data/8238-1_S10_L001_R1_001.fastq.gz	data/8238-1_S10_L001_R2_001.fastq.gz
8238-2_S9	8238-2_S9	csp		0	data/8238-2_S9_L001_R1_001.fastq.gz	data/8238-2_S9_L001_R2_001.fastq.gz
Abass-1_S4	Abass-1_S4	msp1		0	data/Abass-1_S4_L001_R1_001.fastq.gz	data/Abass-1_S4_L001_R2_001.fastq.gz
Abass-2_S3	Abass-2_S3	csp		0	data/Abass-2_S3_L001_R1_001.fastq.gz	data/Abass-2_S3_L001_R2_001.fastq.gz
Ali-1_S19	Ali-1_S19	msp1		0	data/Ali-1_S19_L001_R1_001.fastq.gz	data/Ali-1_S19_L001_R2_001.fastq.gz
Ali-2_S18	Ali-2_S18	csp		0	data/Ali-2_S18_L001_R1_001.fastq.gz	data/Ali-2_S18_L001_R2_001.fastq.gz
Balkisu-1_S2	Balkisu-1_S2	msp1		0	data/Balkisu-1_S2_L001_R1_001.fastq.gz	data/Balkisu-1_S2_L001_R2_001.fastq.gz
Balkisu-2_S1	Balkisu-2_S1	csp		0	data/Balkisu-2_S1_L001_R1_001.fastq.gz	data/Balkisu-2_S1_L001_R2_001.fastq.gz
KG073-2_S19	KG073-2_S19	csp		0	data/KG073-2_S19_L001_R1_001.fastq.gz	data/KG073-2_S19_L001_R2_001.fastq.gz
MGH001-1_S28	MGH001-1_S28	msp1		0	data/MGH001-1_S28_L001_R1_001.fastq.gz	data/MGH001-1_S28_L001_R2_001.fastq.gz
MGH001-2_S8	MGH001-2_S8	csp		0	data/MGH001-2_S8_L001_R1_001.fastq.gz	data/MGH001-2_S8_L001_R2_001.fastq.gz
Mariam-1_S5	Mariam-1_S5	msp1		0	data/Mariam-1_S5_L001_R1_001.fastq.gz	data/Mariam-1_S5_L001_R2_001.fastq.gz
