msp1_3D7;Reference
msp1-1_sk108-1_S23;Central
msp1-2_sk119-1_S25;Central
msp1-1_sk119-1_S25;Central
msp1-2_sk125-1_S27;Central
msp1-830_sk125-1_S27;Central
msp1-1_sk125-1_S27;Central
msp1-164_sk142-1_S29;Central
msp1-2_sk142-1_S29;Central
msp1-1_sk142-1_S29;Central
msp1-2_sk150-1_S31;Central
msp1-42_sk150-1_S31;Central
msp1-1_sk150-1_S31;Central
msp1-2_sk154-1_S33;Central
msp1-1_sk154-1_S33;Central
msp1-53_sk154-1_S33;Central
msp1-164_sk159-1_S35;Central
msp1-2_sk159-1_S35;Central
msp1-227_sk159-1_S35;Central
msp1-1_sk159-1_S35;Central
msp1-2_sk162-1_S37;Central
msp1-1_sk162-1_S37;Central
msp1-2_sk163-1_S39;Central
msp1-11_sk163-1_S39;Central
msp1-1_sk163-1_S39;Central
msp1-162_sk166-1_S21;Central
msp1-11_sk166-1_S21;Central
msp1-2_sk166-1_S21;Central
msp1-1_sk166-1_S21;Central
msp1-2_sk177-1_S22;Central
msp1-435_sk177-1_S22;Central
msp1-162_sk177-1_S22;Central
msp1-1_sk177-1_S22;Central
msp1-1_sk179-1_S23;Central
msp1-733_sk181-1_S24;Central
msp1-1_sk181-1_S24;Central
msp1-733_sk189-1_S25;Central
msp1-115_sk189-1_S25;Central
msp1-378_sk189-1_S25;Central
msp1-2_sk189-1_S25;Central
msp1-1_sk189-1_S25;Central
msp1-378_sk191-1_S26;Central
msp1-733_sk191-1_S26;Central
msp1-2_sk191-1_S26;Central
msp1-1_sk191-1_S26;Central
msp1-11_sk196-1_S27;Central
msp1-378_sk196-1_S27;Central
msp1-824_sk196-1_S27;Central
msp1-1148_sk196-1_S27;Central
msp1-2_sk196-1_S27;Central
msp1-1_sk196-1_S27;Central
msp1-164_Yakubu-1_S13;North
msp1-1148_Yakubu-1_S13;North
msp1-268_Yakubu-1_S13;North
